city,cycleway
Leeds,190.6428011613558
Sheffield,77.39830565044163
Portsmouth,62.37792317965487
Bristol,109.50125834156934
Nottingham,146.50601889264988
Leicester,89.104549211598
Plymouth,79.42064100009125
Stoke-on-Trent,113.9658966927833
Southampton,45.99588000868668
York,148.7567373888416
Milton Keynes,413.04830971812856
Swindon,130.34119135627915
Southend-on-Sea,29.147992029362193
Peterborough,187.46559848792108
Thurrock,40.608237380409655
Oxford,100.51720855918829
Blackburn with Darwen,11.459307270276552
Blackpool,6.661839253274634
Norwich,18.599426369029903
Ipswich,45.40409631306003
Watford,19.811914068712667
Exeter,89.24828616823886
Preston,66.98209554863416
London,969.1690773937025
Berlin,1327.3005938424294
Hamburg,817.0048509557658
München,698.6819429408877
Köln,211.55741966957999
Frankfurt,227.56962142280202
Düsseldorf,190.94627875358634
Stuttgart,34.259051462783894
Bremen,589.2946413624367
Hannover,471.07878305747823
Leipzig,266.4438960673131
Dresden,209.71333176934706
Nürnberg,106.36993546864221
Bochum,88.62165931884806
Wuppertal,66.37920703848255
Mannheim,138.3504260455159
Bielefeld,182.9589701328457
Bonn,88.74872564728534
Karlsruhe,173.93121470883867
Münster,432.9066253832519
Augsburg,91.70244322112144
Chemnitz,80.55108840750037
Aachen,171.56428587716564
Halle (Saale),89.59217904978436
Magdeburg,157.51835329662418
Halle,30.175211334337334
Mainz,61.324770988714604
Erfurt,96.5905168555655
Kassel,43.44341040507687
Hamm,120.89952160784293
Saarbrücken,45.07311430215484
Osnabrück,167.14254123876057
Solingen,51.04514275222954
Oldenburg,145.4995255607987
Neuss,82.99615051044591
Potsdam,90.55731121331233
Darmstadt,53.2044111027176
Heidelberg,38.45781349424597
Göttingen,144.93402737638087
Heilbronn,13.694417650300183
Ulm,16.386333425028898
Offenbach am Main,26.044657103197473
Reutlingen,56.96721773777013
Jena,24.17834636981241
Gera,27.795945258376975
Kaiserslautern,41.27976460765465
Hildesheim,91.78221925279803
Witten,21.556202940627664
Madrid,297.578636969966
Valencia,204.99881371228312
Sevilla,175.80076712448255
Málaga,72.4007719996545
Tarragona,3.621080566338257
Bilbao,26.56070238950017
Córdoba,154.97251860076705
Pamplona,44.00241565566109
A Coruña,16.507403802915768
Vitoria-Gasteiz,124.76128417034015
Donostia-San Sebastián,56.8485664668296
Burgos,57.64714480715678
León,20.73922420874637
Barcelona,159.53634213225519
Ghent,283.10313742982214
Charleroi,64.70405606229964
Liege,30.80207216019101
Brussels,69.0415703681289
Brugge,261.2471340038584
Namur,89.30736458564792
Antwerp,469.68379912212987
Stockholm,956.6693550101515
Gothenburg,471.3458654253165
Malmö,265.8865731804954
Linköping,119.67571407723312
Uppsala,335.09690946006515
Norrköping,181.64429224749244
Lund,212.36947643067097
Umeå,291.9902979718295
Örebro,361.3465587163796
Torino,141.75344169456042
Palermo,3.875198089133075
Bologna,117.06782786329444
Bari,20.154458770084027
Verona,54.654480240006066
Messina,5.92153305376906
Padua,88.06907088227965
Trieste,10.841576660993175
Parma,84.57765408563552
Reggio Emilia,163.7139721935326
Perugia,4.443667137490492
Ravenna,92.07017405683352
Ferrara,96.3639174515442
Bolzano,68.5765825436098
Rome,120.64264587439028
Basel,34.3031541178129
Zürich,118.35957766166005
Graz,127.08841262855694
Linz,48.805066182306334
Salzburg,51.37588831892276
Wien,715.628525698178
Amsterdam,850.2942411426038
Rotterdam,795.3111844920978
Utrecht,390.1765607538422
Eindhoven,343.2285848131619
Tilburg,259.89737319781227
Almere,415.59099955287127
Groningen,297.8171462880976
Breda,266.4467815322273
Nijmegen,230.20223603919948
Apeldoorn,472.27060747239335
Enschede,234.84499127570362
Haarlem,163.5231737752255
Arnhem,312.63631710200644
Zaanstad,145.54310881797775
Amersfoort,201.31186710057239
Haarlemmermeer,391.00622065429155
's-Hertogenbosch,277.7155735401636
Zoetermeer,187.66554114046963
Maastricht,144.15873924114152
Leiden,142.3028540866909
Zwolle,219.6122150974218
Emmen,377.30548233675523
Ede,409.547402122782
Copenhagen,418.74091025013723
Odense,387.2358000164911
Paris,287.0702267650335
Lyon,614.7158468643637
Marseille,112.56624372905327
Lille,99.26145468216383
Bordeaux,132.14457002025216
Nantes,136.52909065277024
Toulon,25.068615582462545
Nice,47.26073943167274
Strasbourg,211.9512506963301
Rouen,25.88460746948337
Grenoble,55.35092525862803
Rennes,124.43625384510977
Lens,2.4028603653335443
Tours,78.45399900384726
Aix,21.905410488383975
Le Havre,65.17241290025038
Nancy,12.60597279659408
Reims,62.23100819367187
Amiens,28.97459377733147
Chambéry,40.0608604272952
